RESULTS FOR CHI-2 WITH DIFFERENT SINGLE-PARTICLE ENERGY
I_0     V     I     E_th     E_exp     CHI2
******************************
              e=              -0
*******TSD1********
47.6 5.61 34.5 7.97856 8.7546 0.100982
47.6 5.61 36.5 9.1282 9.7638 0.100982
47.6 5.61 38.5 10.3579 10.8268 0.100982
47.6 5.61 40.5 11.6677 11.9392 0.100982
47.6 5.61 42.5 13.0575 13.0861 0.100982
*******TSD4********
47.6 5.61 23.5 4.10187 4.58 0.100982
47.6 5.61 25.5 4.86238 5.2251 0.100982
47.6 5.61 27.5 5.70279 5.9273 0.100982
47.6 5.61 29.5 6.62313 6.6819 0.100982
47.6 5.61 31.5 7.62343 7.4919 0.100982
47.6 5.61 33.5 8.70371 8.3573 0.100982
47.6 5.61 35.5 9.86399 9.2778 0.100982
47.6 5.61 37.5 11.1043 10.2535 0.100982
47.6 5.61 39.5 12.4246 11.2851 0.100982
47.6 5.61 41.5 13.825 12.3701 0.100982
******************************
              e=              -0.4175
*******TSD1********
47.6 6.01 8.5 0.0954327 0.1966 0.100433
47.6 6.01 10.5 0.270712 0.4597 0.100433
47.6 6.01 12.5 0.525866 0.7746 0.100433
47.6 6.01 14.5 0.860915 1.1609 0.100433
47.6 6.01 16.5 1.27588 1.6112 0.100433
47.6 6.01 18.5 1.77077 2.1265 0.100433
47.6 6.01 20.5 2.34561 2.7051 0.100433
47.6 6.01 22.5 3.0004 3.3441 0.100433
47.6 6.01 24.5 3.73515 4.0411 0.100433
47.6 6.01 26.5 4.54988 4.7937 0.100433
47.6 6.01 28.5 5.44458 5.5992 0.100433
47.6 6.01 30.5 6.41927 6.457 0.100433
47.6 6.01 32.5 7.47396 7.3667 0.100433
47.6 6.01 34.5 8.60864 8.3293 0.100433
47.6 6.01 36.5 9.82332 9.3458 0.100433
47.6 6.01 38.5 11.118 10.4169 0.100433
47.6 6.01 40.5 12.4927 11.5431 0.100433
47.6 6.01 42.5 13.9474 12.7224 0.100433
47.6 6.01 44.5 15.4821 13.9491 0.100433
47.6 6.01 46.5 17.0969 15.2181 0.100433
47.6 6.01 48.5 18.7916 16.5221 0.100433
*******TSD2********
47.6 6.01 13.5 0.705313 1.3394 0.100433
47.6 6.01 15.5 1.04812 1.7467 0.100433
47.6 6.01 17.5 1.47078 2.2184 0.100433
47.6 6.01 19.5 1.97331 2.7527 0.100433
47.6 6.01 21.5 2.55574 3.3484 0.100433
47.6 6.01 23.5 3.21811 4.003 0.100433
47.6 6.01 25.5 3.96044 4.7143 0.100433
47.6 6.01 27.5 4.78273 5.4805 0.100433
47.6 6.01 29.5 5.68501 6.3004 0.100433
47.6 6.01 31.5 6.66729 7.1733 0.100433
47.6 6.01 33.5 7.72958 8.0998 0.100433
47.6 6.01 35.5 8.87188 9.08 0.100433
47.6 6.01 37.5 10.0942 10.1147 0.100433
47.6 6.01 39.5 11.3966 11.2036 0.100433
47.6 6.01 41.5 12.779 12.3466 0.100433
47.6 6.01 43.5 14.2414 13.5441 0.100433
47.6 6.01 45.5 15.7839 14.7911 0.100433
*******TSD3********
47.6 6.01 16.5 1.23533 2.1237 0.100433
47.6 6.01 18.5 1.66567 2.6293 0.100433
47.6 6.01 20.5 2.17584 3.1973 0.100433
47.6 6.01 22.5 2.76588 3.8243 0.100433
47.6 6.01 24.5 3.43583 4.5094 0.100433
47.6 6.01 26.5 4.18572 5.2506 0.100433
47.6 6.01 28.5 5.01559 6.0465 0.100433
47.6 6.01 30.5 5.92544 6.8963 0.100433
47.6 6.01 32.5 6.9153 7.7988 0.100433
47.6 6.01 34.5 7.98519 8.7546 0.100433
47.6 6.01 36.5 9.13512 9.7638 0.100433
47.6 6.01 38.5 10.3651 10.8268 0.100433
47.6 6.01 40.5 11.6751 11.9392 0.100433
47.6 6.01 42.5 13.0652 13.0861 0.100433
*******TSD4********
47.6 6.01 23.5 4.09338 4.58 0.100433
47.6 6.01 25.5 4.85424 5.2251 0.100433
47.6 6.01 27.5 5.69499 5.9273 0.100433
47.6 6.01 29.5 6.61566 6.6819 0.100433
47.6 6.01 31.5 7.61628 7.4919 0.100433
47.6 6.01 33.5 8.69687 8.3573 0.100433
47.6 6.01 35.5 9.85745 9.2778 0.100433
47.6 6.01 37.5 11.098 10.2535 0.100433
47.6 6.01 39.5 12.4186 11.2851 0.100433
47.6 6.01 41.5 13.8193 12.3701 0.100433
******************************
              e=              -0.501
*******TSD1********
47.5 6.31 8.5 0.0956566 0.1966 0.0999402
47.5 6.31 10.5 0.271332 0.4597 0.0999402
47.5 6.31 12.5 0.527053 0.7746 0.0999402
47.5 6.31 14.5 0.86284 1.1609 0.0999402
47.5 6.31 16.5 1.27871 1.6112 0.0999402
47.5 6.31 18.5 1.77469 2.1265 0.0999402
47.5 6.31 20.5 2.35077 2.7051 0.0999402
47.5 6.31 22.5 3.00698 3.3441 0.0999402
47.5 6.31 24.5 3.74332 4.0411 0.0999402
47.5 6.31 26.5 4.55981 4.7937 0.0999402
47.5 6.31 28.5 5.45644 5.5992 0.0999402
47.5 6.31 30.5 6.43323 6.457 0.0999402
47.5 6.31 32.5 7.49018 7.3667 0.0999402
47.5 6.31 34.5 8.6273 8.3293 0.0999402
47.5 6.31 36.5 9.84458 9.3458 0.0999402
47.5 6.31 38.5 11.142 10.4169 0.0999402
